time	latitude	longitude	depth	mag	magType	nst	gap	dmin	rms	net	id	updated	place	type	horizontalError	depthError	magError	magNst	status	locationSource	magSource
2023-09-28T15:55:43.631Z	31.5838	-104.553	4.636	2.7	ml	34	74	0.096	0.49	us	us6000lbf7	2023-09-28T18:19:48.040Z	65 km NNE of Van Horn, Texas	earthquake	1.02	4.903	0.052	74	reviewed	us	us
2023-09-28T15:49:58.761Z	59.947	-153.3462	133	2.1	ml				0.5	ak	ak023cgfv6iq	2023-09-28T17:07:26.040Z	46 km ENE of Pedro Bay, Alaska	earthquake		0.6			automatic	ak	ak
2023-09-28T15:44:21.500Z	17.92333333	-66.8585	11.32	2.41	md	6	222	0.0551	0.1	pr	pr71426388	2023-09-28T16:23:14.070Z	6 km SSE of Maria Antonia, Puerto Rico	earthquake	1.63	0.73	0.027011578	3	reviewed	pr	pr
2023-09-28T15:37:58.210Z	32.7298333	-115.5536667	13.23	1.99	ml	29	48	0.04122	0.26	ci	ci40573880	2023-09-28T17:35:44.420Z	2 km W of Heber, CA	earthquake	0.35	0.66	0.252	21	reviewed	ci	ci
2023-09-28T15:35:22.630Z	35.8835	-117.687	2.62	1.04	ml	10	161	0.09796	0.14	ci	ci37574364	2023-09-28T17:28:33.068Z	21 km ESE of Little Lake, CA	earthquake	0.38	0.41	0.134	6	reviewed	ci	ci
2023-09-28T15:35:11.710Z	35.8838333	-117.6825	2.55	1.12	ml	19	99	0.1006	0.16	ci	ci40573872	2023-09-28T17:20:34.045Z	21 km ESE of Little Lake, CA	earthquake	0.26	0.4	0.213	5	reviewed	ci	ci
2023-09-28T15:32:25.797Z	62.1663	-148.5086	37.2	0.9	ml				0.25	ak	ak023cgfrgsz	2023-09-28T15:33:33.451Z	41 km N of Chickaloon, Alaska	earthquake		2			automatic	ak	ak
2023-09-28T15:26:22.450Z	34.5173333	-118.1023333	10	1.62	ml	30	39	0.03589	0.11	ci	ci40573864	2023-09-28T18:53:33.454Z	2 km NE of Vincent, CA	earthquake	0.15	0.25	0.195	17	reviewed	ci	ci
2023-09-28T15:25:10.830Z	34.2361667	-117.4566667	10.48	1.06	ml	30	59	0.04393	0.23	ci	ci40573856	2023-09-28T18:01:13.620Z	5 km ESE of Lytle Creek, CA	earthquake	0.29	0.4	0.203	11	reviewed	ci	ci
2023-09-28T14:40:26.208Z	-15.5835	167.7222	127.473	6.1	mww	114	23	5.923	0.73	us	us6000lbdi	2023-09-28T18:54:37.345Z	60 km E of Luganville, Vanuatu	earthquake	8.99	3.354	0.038	67	reviewed	us	us
2023-09-28T14:37:37.304Z	62.7758	-150.8886	87.4	1.1	ml				0.52	ak	ak023cgf74lz	2023-09-28T14:40:08.463Z	31 km NNW of Petersville, Alaska	earthquake		0.7			automatic	ak	ak
2023-09-28T14:37:24.880Z	38.8328323	-122.7795029	-0.85	1.61	md	20	72	0.007852	0.2	nc	nc73943041	2023-09-28T14:39:01.850Z	5 km WNW of Cobb, CA	earthquake	0.34	1.01	0.2	23	automatic	nc	nc
2023-09-28T14:29:48.043Z	37.4327	137.2433	10	4.5	mb	25	88	1.173	0.62	us	us6000lbdg	2023-09-28T15:50:13.040Z	37 km NE of Anamizu, Japan	earthquake	6.39	1.884	0.163	11	reviewed	us	us
2023-09-28T14:27:47.700Z	17.93783333	-66.29316667	10.42	2.1	md	6	209	0.1795	0.16	pr	pr71426383	2023-09-28T15:00:58.400Z	4 km S of Salinas, Puerto Rico	earthquake	0.65	0.91	0.510381516	3	reviewed	pr	pr
2023-09-28T14:17:38.361Z	58.7755	-154.6568	118.1	1.9	ml				0.41	ak	ak023cgf2tos	2023-09-28T14:19:43.989Z	74 km S of Kokhanok, Alaska	earthquake		1			automatic	ak	ak
2023-09-28T14:12:10.327Z	61.7117	-151.848	92.4	1.7	ml				0.85	ak	ak023cgf1poo	2023-09-28T14:14:23.939Z	39 km SW of Skwentna, Alaska	earthquake		0.6			automatic	ak	ak
2023-09-28T14:04:25.668Z	62.7841	-148.5683	13.3	1.2	ml				0.42	ak	ak023cgf0152	2023-09-28T14:06:00.357Z	70 km SSE of Cantwell, Alaska	earthquake		0.2			automatic	ak	ak
2023-09-28T14:00:45.712Z	-6.3468	130.1077	173.15	4.9	mb	35	96	1.824	0.66	us	us6000lbd8	2023-09-28T14:20:08.040Z	Banda Sea	earthquake	10.72	8.621	0.072	61	reviewed	us	us
2023-09-28T13:57:47.960Z	46.816	-121.1853333	1.25	1.35	ml	31	107	0.2527	0.26	uw	uw61953902	2023-09-28T15:46:26.220Z	16 km SSW of Cliffdell, Washington	earthquake	0.47	2.26	0.189498869	17	reviewed	uw	uw
2023-09-28T13:45:08.414Z	63.2401	-150.3968	112.2	1.4	ml				0.29	ak	ak023cgenck9	2023-09-28T13:47:01.877Z	74 km ESE of Denali National Park, Alaska	earthquake		1			automatic	ak	ak
2023-09-28T13:36:22.590Z	38.793335	-122.8238297	2.1	0.77	md	15	100	0.008753	0.03	nc	nc73943026	2023-09-28T13:37:57.918Z	6 km WNW of The Geysers, CA	earthquake	0.29	0.62	0.17	16	automatic	nc	nc
2023-09-28T13:35:02.220Z	19.14566612	-155.4776611	33.65000153	2.25999999	md	43	165		0.100000001	hv	hv73587292	2023-09-28T13:38:19.330Z	6 km S of PÄhala, Hawaii	earthquake	0.61	0.910000026	0.230000004	21	automatic	hv	hv
2023-09-28T13:26:25.740Z	36.8861656	-121.3960037	10.87	0.96	md	5	205	0.1095	0.04	nc	nc73943021	2023-09-28T13:28:02.373Z	4 km N of Hollister, CA	earthquake	2.01	2.9	0.02	4	automatic	nc	nc
2023-09-28T13:17:01.740Z	38.8250008	-122.803833	2.65	0.76	md	12	73	0.005132	0.01	nc	nc73943016	2023-09-28T13:18:36.788Z	7 km NW of The Geysers, CA	earthquake	0.36	0.77	0.15	13	automatic	nc	nc
2023-09-28T13:09:58.659Z	64.6034	-149.8437	18.7	1.1	ml				0.68	ak	ak023cgefqnt	2023-09-28T13:12:44.863Z	34 km W of Four Mile Road, Alaska	earthquake		0.3			automatic	ak	ak
2023-09-28T13:06:43.490Z	33.1223333	-116.1951667	10.72	1.4	ml	55	43	0.04037	0.2	ci	ci40573800	2023-09-28T18:26:45.099Z	6 km WSW of Ocotillo Wells, CA	earthquake	0.18	0.35	0.134	23	reviewed	ci	ci
2023-09-28T12:51:20.696Z	57.6579	-155.0606	77.6	1.5	ml				0.49	ak	ak023cge3879	2023-09-28T12:53:42.141Z	37 km WNW of Karluk, Alaska	earthquake		0.7			automatic	ak	ak
